From_Port_Code,To_Port_Code
VNCLI,THLCH
THLCH,KRJIT
KRJIT,KRPUS
KRPUS,CNSHA
CNSHA,VNCLI
VNCLI,KRJIT
KRJIT,KRPUS
THTCT,THLCH
THLCH,VNCLI
KRPUS,CNSHA
CNSHA,VNCLI
VNCLI,THLCH
THLCH,KRJIT
THTCT,THLCH
THLCH,VNCLI
KRJIT,KRPUS
KRPUS,CNSHA
CNSHA,THLCH
THLCH,VNCLI
IDJK3,IDSUB
IDJK3,IDSUB
PHDCT,PHGES
PHDCT,PHGES
PHDCT,PHGES
PHGES,PHDCT
PHDCT,PHGES
PHDCT,PHGES
PHGES,PHDCT
PHDCT,PHGES
PHDCT,PHGES
PHDCT,PHGES
PHDCT,PHGES
PHDCT,PHGES
PHDCT,PHGES
PHDCT,PHGES
PHDCT,PHGES
PHDCT,PHGES
PHDCT,PHGES
PHDCT,PHGES
PHDCT,PHGES
PHDCT,PHGES
PHDCT,PHGES
PHGES,PHDCT
PHGES,PHDCT
PHDCT,PHGES
IDJK3,IDSUB
IDSUB,IDJK3
PKKHI,INGTI
INGTI,INANI
INANI,MYWSP
MYWSP,SGSIN
SGSIN,MYWSP
MYWSP,CNSHA
CNSHA,CNNBG
CNNBG,CNSHK
INGTI,INANI
INANI,PKKHI
PKKHI,MYWSP
MYWSP,PKKHI
PKKHI,MYWSP
MYWSP,SGSIN
SGSIN,INGTI
INGTI,INANI
CNSHK,MYWSP
MYWSP,CNSHA
CNSHA,CNNBG
CNNBG,CNSHK
CNSHK,SGSIN
SGSIN,MYWSP
MYWSP,CNSHA
CNSHA,CNNBG
IDSUB,IDJK3
IDJK3,IDSUB
IDJK3,IDSUB
MYWSP,SGSIN
SGSIN,INMAA
INMAA,INGGV
INGGV,MYWSP
MYWSP,SGSIN
SGSIN,INMAA
CNSHA,CNNBG
CNNBG,CNNSA
CNNSA,SGSIN
CNSHA,CNNBG
THLCH,THPAT
THPAT,PHMNL
CNSHA,CNNBG
THPAT,THLCH
THLCH,PHMNL
IDJK3,SGSIN
SGSIN,THLCH
IDJK3,SGSIN
THLCH,SGSIN
IDJK3,SGSIN
SGSIN,THLCH
SGSIN,IDJK3
THLCH,SGSIN
IDJK3,SGSIN
THLCH,SGSIN
SGSIN,IDJK3
THLCH,SGSIN
SGSIN,IDJK3
THLCH,SGSIN
IDJK3,SGSIN
THLCH,SGSIN
IDJK3,SGSIN
THLCH,SGSIN
IDJK3,SGSIN
THLCH,SGSIN
IDJK3,SGSIN
SGSIN,THLCH
IDJK3,SGSIN
THLCH,SGSIN
SGSIN,THLCH
VNHPH,THSSW
THSSW,THSSP
CNSHK,CNNSA
CNNSA,THSSP
THSSW,THSSP
VNHPH,CNNSA
CNNSA,CNSHK
CNSHK,THSSP
THSSW,THSSP
THSSP,VNHPH
CNSHK,CNNSA
CNNSA,THSSP
THSSW,THSSP
THSSP,VNHPH
THSSP,CNSHK
CNSHK,CNNSA
THSSW,THSSP
THSSP,VNHPH
THSSP,CNSHK
CNSHK,CNNSA
THSSW,THSSP
THSSP,VNHPH
THSSP,CNSHK
CNSHK,CNNSA
THSSW,THSSP
THSSP,VNHPH
THSSP,CNSHK
CNSHK,CNNSA
THSSW,THSSP
THSSP,VNHPH
CNSHK,CNNSA
CNNSA,THSSP
VNHPH,THSSW
THSSW,THSSP
CNSHK,CNNSA
CNNSA,THSSP
THSSW,THSSP
THSSP,VNHPH
CNSHK,CNNSA
CNNSA,THSSP
VNHPH,THSSW
THSSW,THSSP
CNSHK,CNNSA
CNNSA,THSSP
PHILO,PHCEB
PHCEB,PHCGY
PHCEB,PHCGY
PHCEB,PHCGY
PHCEB,PHCGY
PHCGY,PHCEB
PHCEB,PHCGY
PHCEB,PHCGY
PHCGY,PHCEB
PHCEB,PHCGY
PHCEB,PHCGY
PHCEB,PHCGY
PHCEB,PHCGY
CNSHA,THLCH
THPAT,THSSW
THSSW,THLCH
THLCH,CNNBG
CNNBG,CNSHA
THPAT,THSSW
THSSW,THLCH
THLCH,VNCLI
CNNBG,CNSHA
CNSHA,THLCH
THPAT,THSSW
THSSW,THLCH
THLCH,VNCLI
THLCH,CNNBG
CNNBG,CNSHA
THPAT,THSSW
THSSW,THLCH
THLCH,VNCLI
CNNBG,CNSHA
CNSHA,THLCH
THSSP,CNNSA
THSSW,THSSP
CNNSA,CNSHK
CNSHK,VNHPH
VNHPH,THSSP
THSSP,THSSW
CNNSA,THSSP
THSSP,CNSHK
CNSHK,VNHPH
THSSW,THSSP
THSSP,VNHPH
CNSHK,CNNSA
CNNSA,THSSP
VNHPH,THSSW
THSSW,THSSP
CNSHK,CNNSA
CNNSA,THSSP
VNHPH,THSSW
THSSW,THSSP
CNSHK,CNNSA
CNNSA,THSSP
THSSW,THSSP
